id,user,created_at,text,,,fav,RT,follower,follows
1.33262E+18,stmrwww,2020/11/28 9:58,事務所が否定してるっぽいです😖なのでこれ以上は何も...😖ですけどストも掘り返せば出てきますよね😂#マシュマロを投げ合おうhttps://t.co/eIXQhVRxw3 https://t.co/V6g062urw7,,,fav,RT,follower,follows
1.33261E+18,arugos,2020/11/28 9:06,桜を見る会の違法性を900万円という金額で判断するのは大間違い。国会での野党議員の質問に対して、首相は何十回も、詳細に事務所の関与を否定した｡これを立件しなければ今後の国会の質疑は成り立たなくなる→論座: 菅総理と検察が安倍氏に迫る「政界引退」.https://t.co/6pl3DPE1Xd@GoogleNews,,,1,0,1869,3288
1.33259E+18,k_fushimi_,2020/11/28 7:21,勇気ちひろのアンチが全肯定キモとかこれで全肯定派は全肯定やめろって言ってるけど、嫌なら見なければいい話だし、ファンがここ直した方がいいっていうのはおかしいんよ直す部分は事務所の人とか他のライバーとかが指摘するだけで、視聴者はその配信者を否定する方がおかしい,,,0,0,458,884
id,user,created_at,text,,,1,0,904,4993
1.33246E+18,mikketaicho,2020/11/27 23:05,脅迫者も国家反逆罪の共犯だと思うが？トランプ側の弁護士事務所を狙うのがフェアゲームだと？ホントこれは邪悪との闘いだなぁ。先に臭菌蔽の方が失脚するのかもしれないが。🤪日本の政治家の中にも日本国民第一に考えてない、というか外国勢力に明け渡して利を得ている輩がいるのは否定できない。 https://t.co/XmLah06rNP,,,3,0,48,49
1.33244E+18,junmuto1972,2020/11/27 21:25,いくら事務所を庇おうが、ホテルが作成した領収書が意味ないとはあり得ません。何故なら否定すると脱税。 https://t.co/m7tbx42DJq,,,22,2,711,500
1.33238E+18,30sohohba,2020/11/27 17:43,島田幸成元都議の事務所在る羽村市五ノ神一丁目に住民票置く反共主義者の私は次期衆院選で自分が会員たる東京民社協会が推薦or支持なら島田幸成元都議応援、ソレ無い場合は麻生派現職・井上信治国務相に投票。科学的社会主義いう危険思想基き皇室廃止＆私有財産否定狙う日本共産党も候補不在＝島田支援 https://t.co/d5eO6Cd3LX,,,0,0,55,0
1.33238E+18,kiki_kih1,2020/11/27 17:31,@makeawish_24 横から失礼してすみませんが上の方を否定するつもりは全くもってありませんが下の方は韓国の大手有名事務所の新人アイドルでその事務所は顔面偏差値が高いことで有名ですがその中でもビジュアルメンバーですので同世代の中ではかなり天下だと思いますよ……(個人的な意見です),,,6,2,19625,187
1.33237E+18,uniebiniku4545,2020/11/27 17:12,しなつが事務所のパイプ椅子を意図的にわざと故意に作為的にヘアアイロンで溶かしました。ちなみに彼女は犯行を否定しており、琵琶湖湖上を逃走しております。 https://t.co/FGTOzXzBHY,,,0,0,536,5001
1.33232E+18,teas_bot,2020/11/27 13:34,「ちょっと大げさじゃないか？私はむーおかの人格を疑ったことはあっても否定したことは無いぞ」（天川）【月並物語―む～おか探偵デザイン事務所―】,,,0,0,198,212
1.33229E+18,miku__arashic,2020/11/27 11:45,📺フジテレビ 大みそかの「ジャニーズカウントダウン」、例年通りの放送せず 新企画を準備▽石原取締役は「先方（ジャニーズ事務所）と話し合っている最中」とした。また今年いっぱいで活動を休止となる #嵐 が出演する可能性については「内容を詰めている最中です」と否定しなかった。 https://t.co/XDiMfxJxJ2,,,0,0,27,69
1.33226E+18,nagagutu_happy7,2020/11/27 9:57,春馬くんの件で、責任感が強い人が〜って言って自死を否定して事務所に抗議し続けてる人達がたくさんいるけど、逆にプロ意識が強くて責任感が強いからこそ、弱さや辛い気持ち悩みを表に出せなくて誰にも言えなくてパンクしちゃったってこともあるということが理解できないのだろうか⁉︎,,,0,0,32027,37399
1.33226E+18,hirotokun_ouen,2020/11/27 9:57,@kirisame_hiroto 今の事務所で4人でデビューしてほしくてバタバタしてる😭その素直なまりさちゃんの気持ちも勿論大事にしててほしいよ😭✨否定じゃないよ！,,,0,0,31518,36891
1.33226E+18,kjohnnyslove129,2020/11/27 9:38,カウコンそりゃジャニヲタのマナーがクソ悪い人たちが会場に集まる可能性も否定できないんだから無理でしょ…私だってカウコンないと年越せないし自担大倉忠義の年男年だったのに…放送別にないなら配信する？？？？事務所からの配信でいいじゃん笑笑,,,0,0,33956,40234
1.33225E+18,match_3456,2020/11/27 9:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYSJw0 ・,,,0,0,39177,46610
1.33225E+18,match000ss,2020/11/27 9:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・,,,0,0,33755,39386
1.33225E+18,sakura000ss,2020/11/27 9:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・,,,2,0,248,70
1.33225E+18,shigegigiss,2020/11/27 9:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・,,,0,0,32027,37399
1.33224E+18,tanuki68981016,2020/11/27 8:40,@j930W70pcbp9AcE この早い判断、正しいですよね嵐出演可能性が否定されてない嵐にとって活動休止前最後のパフォーマンスになるはずそれでも現況を事務所共に考えてるやはりActAgainstAnythingチャリティーイベントは無謀で高リスクでしかない😰,,,0,0,31518,36891
1.33224E+18,toyotask000,2020/11/27 8:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・,,,0,0,33956,40234
1.33224E+18,match_3456,2020/11/27 8:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYSJw0 ・・,,,0,0,39177,46610
1.33224E+18,match000ss,2020/11/27 8:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・・,,,0,0,33755,39386
1.33224E+18,sakura000ss,2020/11/27 8:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・・,,,1866,327,104104,203
1.33224E+18,shigegigiss,2020/11/27 8:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・・,,,0,0,32027,37399
1.33224E+18,arashi_Tour2017,2020/11/27 8:15,フジテレビがジャニーズカウントダウン（カウコン）を開催しないと正式発表その代わりとなる新企画を準備中との事…(現在事務所と話し合っている最中)嵐の出演について否定しなかったようです。#カウコン #ジャニーズカウントダウン #カウコン中止https://t.co/oHU4c147PJ,,,1,0,31518,36891
1.33222E+18,toyotask000,2020/11/27 7:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・・,,,0,0,33956,40234
1.33222E+18,match_3456,2020/11/27 7:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYSJw0 ・・・,,,1,0,39177,46610
1.33222E+18,match000ss,2020/11/27 7:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・・・,,,0,0,33755,39386
1.33222E+18,sakura000ss,2020/11/27 7:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・・・,,,1,0,55,53
1.33222E+18,shigegigiss,2020/11/27 7:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・・・,,,1,0,3514,4880
1.33222E+18,jaru_zukan,2020/11/27 7:18,[ウルトラズ]左からトースター松林、ホンコンチュニジア、ジッパージャンパーの三人で構成されるロックバンド。代表曲は「ヤッター」「アホグラミー賞」など。本人らはウルフルズとの関係を否定していたが、芸能事務所の意向によりコラボが実現した。登場回：ウルフルズに影響されている奴 https://t.co/XjIS17hf8J,,,0,0,32027,37399
1.33221E+18,ytlegOOgelty,2020/11/27 6:35,ご結婚おめでとう御座います！瀬戸康史と山本美月はお似合い？1週間前に事務所が否定した理由… https://t.co/mcQSH05CXg瀬戸の花嫁…いいね！事務所と俳優は運命共同体ですからね…,,,0,0,31518,36891
1.33221E+18,toyotask000,2020/11/27 6:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・・・,,,0,0,33956,40234
1.33221E+18,match_3456,2020/11/27 6:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYSJw0 ・・・・,,,0,0,39177,46610
1.33221E+18,match000ss,2020/11/27 6:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・・・・,,,0,0,33755,39386
1.33221E+18,sakura000ss,2020/11/27 6:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・・・・,,,0,0,31518,36891
1.33221E+18,shigegigiss,2020/11/27 6:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・・・・,,,0,0,33956,40234
1.33219E+18,match_3456,2020/11/27 5:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYSJw0 ・・・・・,,,0,0,39177,46610
1.33219E+18,match000ss,2020/11/27 5:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・・・・・,,,1,0,33755,39386
1.33219E+18,sakura000ss,2020/11/27 5:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・・・・・,,,0,0,523,144
1.33219E+18,shigegigiss,2020/11/27 5:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・・・・・,,,0,0,32027,37399
1.33219E+18,GhettoOrgan,2020/11/27 4:51,"""安倍氏と、官房長官だった菅義偉首相は…1年以上、穴埋めや明細書の存在を否定し、虚偽と疑われる答弁を繰り返した。事実確認は秘書や事務所にとどめ、会場のホテル側には照会しないなど疑問点を放置…実態を知りながら政権運営への影響を恐れたとの見方も"" #桜を見る会 https://t.co/jeSAinpJr3",,,0,0,6,26
1.33218E+18,toyotask000,2020/11/27 4:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・・・・,,,0,0,32027,37399
1.33217E+18,kc_929_mc,2020/11/27 3:41,岸くんと私の曲じゃん！とか思ってたけど事務所に全力で否定されたテスト明け直後にこれはツラい🥺けど推しがかっこいいから結局めちゃくちゃ楽しみ😶https://t.co/2DE6wsDPb0,,,0,0,31518,36891
1.33216E+18,toyotask000,2020/11/27 3:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・・・・・,,,0,0,33956,40234
1.33216E+18,match_3456,2020/11/27 3:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYSJw0 ・・・・・・,,,0,0,39177,46610
1.33216E+18,match000ss,2020/11/27 3:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・・・・・・,,,0,0,33755,39386
1.33216E+18,sakura000ss,2020/11/27 3:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・・・・・・,,,0,0,9,16
1.33216E+18,shigegigiss,2020/11/27 3:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・・・・・・,,,0,0,3661,4999
1.33215E+18,ANGRYOW33122333,2020/11/27 2:39,どうでもいいだろ。村本の女事情なんか。#村本大輔 交際 事務所否定せず#Yahooニュースhttps://t.co/tolhYuHXHV,,,0,0,32027,37399
1.33215E+18,Masked_Tigre,2020/11/27 2:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず（スポニチアネックス） https://t.co/HKwkv2PWUm,,,0,0,31518,36891
1.33213E+18,toyotask000,2020/11/27 1:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・・・・・・,,,0,0,33956,40234
1.33213E+18,match_3456,2020/11/27 1:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYSJw0 ・・・・・・・,,,0,0,39177,46610
1.33213E+18,match000ss,2020/11/27 1:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・・・・・・・,,,0,0,33755,39386
1.33213E+18,sakura000ss,2020/11/27 1:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・・・・・・・,,,9,0,130,164
1.33213E+18,shigegigiss,2020/11/27 1:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・・・・・・・,,,0,0,32027,37399
1.33213E+18,TOMOZO2618,2020/11/27 1:15,@NBFFSNyFBu13nvg 普通の一般人なら他人にどう思われようがウキウキの時にクレバーな二人は将来を見据えてぐっと静かに…でも絶対に否定はしないそんな二人を事務所も友人達も認めて協力してくれているのかな二人共に人としても素晴らしくて、ずっと応援していきたいですね🍀,,,0,0,31518,36891
1.33212E+18,toyotask000,2020/11/27 0:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・・・・・・・,,,0,0,33956,40234
1.33212E+18,match_3456,2020/11/27 0:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYSJw0 ・・・・・・・・,,,0,0,39177,46610
1.33212E+18,match000ss,2020/11/27 0:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・・・・・・・・,,,0,0,33755,39386
1.33212E+18,sakura000ss,2020/11/27 0:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・・・・・・・・,,,1,0,396,401
1.33212E+18,shigegigiss,2020/11/27 0:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・・・・・・・・,,,0,0,1198,1384
1.33212E+18,moka_popn,2020/11/27 0:16,@ega250_popn たしかに8月ぐらいにずっと推してた人がその事務所を辞めるってなったときに一時期嫌いになったんですけど、むしろ最近は、「その人のことを好きだった自分を否定したくない」っていう考えになれてる気がします！鬱なときにツイートしてたものの印象が強いんでしょうか…,,,0,0,917,25
1.33211E+18,darecolle,2020/11/27 0:07,村本大輔交際 事務所否定せず。って。知ってる？,,,fav,RT,follower,follows
1.33211E+18,trend_o,2020/11/27 0:01,村本大輔交際 事務所否定せず。って。知ってる？,,,0,0,1283,1464
id,user,created_at,text,,,0,0,623,985
1.33211E+18,trtmpgfc1,2020/11/26 23:50,村本大輔交際 事務所否定せず。って。知ってる？,,,0,0,2467,2738
1.33211E+18,masayan31091,2020/11/26 23:50,村本大輔交際 事務所否定せず。( ･ω･),,,0,0,1500,2058
1.3321E+18,naru3po,2020/11/26 23:32,村本大輔交際 事務所否定せず。って。知ってる？,,,0,0,20,39
1.3321E+18,trendswebs,2020/11/26 23:31,村本大輔交際 事務所否定せず。って。知ってる？,,,0,0,32027,37399
1.3321E+18,zzdhbeg6,2020/11/26 23:31,村本大輔交際 事務所否定せず。って。知ってる？,,,0,0,36,133
1.3321E+18,toyotask000,2020/11/26 23:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・・・・・・・・,,,0,0,31518,36891
1.3321E+18,djknife_,2020/11/26 23:25,このニュースに何の価値があるの？ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず（スポニチアネックス） https://t.co/dctqEYQW4L,,,0,0,33956,40234
1.3321E+18,match_3456,2020/11/26 23:24,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/4u6edYB8Es ・・・・・・・・・,,,0,0,39177,46610
1.3321E+18,match000ss,2020/11/26 23:22,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/ZpKIA98XVI ・・・・・・・・・,,,0,0,33755,39386
1.3321E+18,sakura000ss,2020/11/26 23:21,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/rUkT42zt4L ・・・・・・・・・,,,0,0,783,851
1.3321E+18,shigegigiss,2020/11/26 23:20,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/1wsfl830la ・・・・・・・・・,,,0,0,1255,1491
1.3321E+18,himawadai,2020/11/26 22:54,村本大輔交際 事務所否定せず。って。知ってる？,,,0,0,440,535
1.33209E+18,lfmjoj76,2020/11/26 22:50,村本大輔交際 事務所否定せず。( ･ω･),,,0,0,127,343
1.33209E+18,kcity265,2020/11/26 22:49,安倍事務所の政治資金の収支報告の件を知っているのだろうか。報告しなきゃならない事を知っていたのに報告しなかった。この事だけならまだしも安倍元首相は野党議員が報告しなきゃならない、元首相のやっていることは脱法行為と指摘したのに関わらずにやにや笑って否定したのである。 https://t.co/fWxIuFVamF,,,0,0,400,506
1.33209E+18,nick_dg0,2020/11/26 22:36,自分が女性なら絶対に好きにならないタイプだが、貫いていれば好意を持つ人もいるということか。ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず(スポニチアネックス)#Yahooニュースhttps://t.co/YPVBhKbCG4,,,0,0,1684,1821
1.33209E+18,makun3109,2020/11/26 22:35,村本大輔交際 事務所否定せず。( ･ω･),,,0,0,32027,37399
1.33209E+18,meron917,2020/11/26 22:31,村本大輔交際 事務所否定せず。( ･ω･),,,0,0,31518,36891
1.33209E+18,toyotask000,2020/11/26 22:26,ウーマン村本、松田優作長女・ゆう姫と熱愛　双方の所属事務所は否定せず https://t.co/bihXjO6dgX ・・・・・・・・・・,,,0,0,33956,40234
